id,name,category,conductivity_w_mk,emissivity,density_kg_m3,spec_heat_cap_J_kgK,roughness,thermal_absorptance,solar_absorptance,visible_absorptance,color,source,notes
2148,"Air layer, unventilated, horizontal, thickness: 90 mm",Air: Horiz. Heatflow,0.5,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2149,"Air layer, unventilated, horizontal, thickness: 95 mm",Air: Horiz. Heatflow,0.528,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2119,"Air layer, unventilated, horizontal, thickness: 9 mm",Air: Horiz. Heatflow,0.063,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2210,"Air layer, unventilated, upwards, thickness: 100 mm",Air: Upward Heatflow,0.625,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2180,"Air layer, unventilated, upwards, thickness: 10 mm",Air: Upward Heatflow,0.067,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2211,"Air layer, unventilated, upwards, thickness: 110 mm",Air: Upward Heatflow,0.688,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2181,"Air layer, unventilated, upwards, thickness: 11 mm",Air: Upward Heatflow,0.072,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2212,"Air layer, unventilated, upwards, thickness: 120 mm",Air: Upward Heatflow,0.75,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2182,"Air layer, unventilated, upwards, thickness: 12 mm",Air: Upward Heatflow,0.078,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2213,"Air layer, unventilated, upwards, thickness: 130 mm",Air: Upward Heatflow,0.813,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2183,"Air layer, unventilated, upwards, thickness: 13 mm",Air: Upward Heatflow,0.083,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2214,"Air layer, unventilated, upwards, thickness: 140 mm",Air: Upward Heatflow,0.875,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2184,"Air layer, unventilated, upwards, thickness: 14 mm",Air: Upward Heatflow,0.089,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2215,"Air layer, unventilated, upwards, thickness: 150 mm",Air: Upward Heatflow,0.938,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2185,"Air layer, unventilated, upwards, thickness: 15 mm",Air: Upward Heatflow,0.094,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2216,"Air layer, unventilated, upwards, thickness: 160 mm",Air: Upward Heatflow,1.0,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2186,"Air layer, unventilated, upwards, thickness: 16 mm",Air: Upward Heatflow,0.1,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2217,"Air layer, unventilated, upwards, thickness: 170 mm",Air: Upward Heatflow,1.063,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2187,"Air layer, unventilated, upwards, thickness: 17 mm",Air: Upward Heatflow,0.106,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2218,"Air layer, unventilated, upwards, thickness: 180 mm",Air: Upward Heatflow,1.125,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2188,"Air layer, unventilated, upwards, thickness: 18 mm",Air: Upward Heatflow,0.113,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2219,"Air layer, unventilated, upwards, thickness: 190 mm",Air: Upward Heatflow,1.188,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2189,"Air layer, unventilated, upwards, thickness: 19 mm",Air: Upward Heatflow,0.119,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2171,"Air layer, unventilated, upwards, thickness: 1 mm",Air: Upward Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2220,"Air layer, unventilated, upwards, thickness: 200 mm",Air: Upward Heatflow,1.25,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2190,"Air layer, unventilated, upwards, thickness: 20 mm",Air: Upward Heatflow,0.125,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2221,"Air layer, unventilated, upwards, thickness: 210 mm",Air: Upward Heatflow,1.313,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2191,"Air layer, unventilated, upwards, thickness: 21 mm",Air: Upward Heatflow,0.131,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2222,"Air layer, unventilated, upwards, thickness: 220 mm",Air: Upward Heatflow,1.375,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
