category,name,conductivity,emissivity,source,comments,color_argb
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 170 mm",0.944,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 180 mm",1,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 190 mm",1.056,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 200 mm",1.111,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 210 mm",1.167,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 220 mm",1.222,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 230 mm",1.278,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 240 mm",1.333,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 250 mm",1.389,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 260 mm",1.444,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 270 mm",1.5,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 280 mm",1.556,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 290 mm",1.611,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 300 mm",1.667,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 1 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 2 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 3 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 4 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 5 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 6 mm",0.05,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 7 mm",0.054,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 8 mm",0.059,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 9 mm",0.063,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 10 mm",0.067,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 11 mm",0.072,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 12 mm",0.078,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 13 mm",0.083,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 14 mm",0.089,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 15 mm",0.094,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 16 mm",0.1,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 17 mm",0.106,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 18 mm",0.113,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 19 mm",0.119,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 20 mm",0.125,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 21 mm",0.131,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 22 mm",0.138,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 23 mm",0.144,0.9,ISO 6946 Method,,"255,175,240,255"
